,road_name,gender
1058,Arthur Meerwaldt pad,male
1059,Arthur Van Schendel straat,male
1060,Aruba straat,female
1061,ArèNpalm straat,null
1062,Asingaborg,null
1063,Assendelft straat,null
1064,Assum burg,null
1065,Asta Elstak straat,female
1066,Astasia straat,female
1067,Asterdwars weg,null
1068,Aster weg,female
1069,AtatüRk,female
1070,Atje Keulen-Deelstra straat,male
1071,Atlantis plein,male
1072,Atlas Maior brug,male
1073,August Allebé Plein,male
1074,August Vermeylen straat,male
1075,Aula laan,female
1076,Aurikel straat,null
1077,Bongerd kade,null
1078,Bongerd kade (Druiven straat),null
1079,Bonhoeffer singel,male
1080,Boni plein,male
1081,Boni straat,male
1082,Bonnefanten straat,null
1083,Bontekoe straat,null
1084,Mr. P.N. Arntzenius weg,null
1085,Bijlmer dreef,female
1086,Bijlmer plein,female
1087,Boomgaard laan,null
1088,Boomklok straat,null
1089,Bretten pad,male
1090,Brienzer straat,male
1091,Brink,male
1092,Brinkie pad,null
1093,Brink straat,male
1094,Brisselkerk straat,null
1095,Bristou,null
1096,Britten burg,female
1097,Broeker gouw,null
1098,Hardware weg,male
1099,Buiksloter dijk,null
1100,Buiksloterkerk pad,null
1101,Buikslotermeer dijk,null
1102,Daalwijk,null
1103,Buikslotermeer plein,null
1104,Burgemeester Van Leeuwen laan,male
1105,Burgemeester Van Tienhoven gracht,male
1106,George Gershwin laan,male
1107,George Orton pad,male
1108,George Sand straat,male
1109,Burgemeester De Vlugt laan,male
1110,Burgemeester Elias straat,male
1111,Burgemeester Fock straat,male
1112,Burgemeester Hogguer straat,male
1113,Burgemeester Kastelein straat,male
1114,Burgemeester Mul straat,male
1115,George Slieker kade,male
1116,Burgemeester RöEll straat,male
1117,Burgemeester Straman weg,male
1118,Burgemeester Tellegen straat,male
1119,Burgemeester Van De Poll straat,male
1120,Dorps weg Rans dorp,null
1121,Carolina Macgillavry laan,female
1122,Carolina Mcgillivray Laan,female
1123,Carrasco plein,male
1124,Carry Pothuis-Smit straat,female
1125,Carry Van Bruggen straat,female
1126,Cas Oorthuys kade,male
1127,Casablanca weg,male
1128,Castor plein,male
1129,Castor straat,male
1130,Catharina Van Rennes straat,female
1131,Catharina Van Tussenbroek straat,female
1132,Catharinahofje,null
1133,Ceder laan,female
1134,George Westinghouse straat,male
1135,Geraardsbergen straat,null
1136,Geranium weg,female
1137,Ceintuur baan,null
1138,Ceintuur brug,null
1139,Celebes straat,male
1140,Cellebroers steeg,null
1141,Celsius straat,male
1142,Centaurus straat,male
1143,Centavos hof,null
1144,Centime hof,null
1145,Centraal Station,female
1146,Centrale Groothandelsmarkt,male
1147,Daalwijk dreef,null
1148,Centrale Hem weg,male
1149,Chaloen,male
1150,Changi weg,male
1151,Charles Boissevain straat,male
1152,Charles Leickert straat,male
1153,Charlotte Bronté Straat,female
1154,Charlotte Cooper pad,female
1155,Charlotte De Bourbon straat,female
1156,Daam Van Haren straat,male
1157,Christoffel Plantijn pad,male
1158,Chrysanten laan,null
1159,Chrysanten straat,null
1160,Churchill- Laan,male
1161,Cilliers straat,male
1162,Circus plein,female
1163,Cissy Van Marxveldt straat,female
1164,Citroenen straat,null
1165,Clara Barton straat,female
1166,Clara Meyer-Wichmann straat,female
1167,Clara Zetkin straat,female
1168,Claus Van Amsberg straat,male
1169,Clauskindere weg,null
1170,Clematis straat,male
1171,Clifford straat,male
1172,Coentunnelcircuit,null
1173,Coentunnel weg,null
1174,Colenbrander hof,null
1175,Colenso straat,male
1176,Colima straat,female
1177,Columbus plein,female
1178,Comenius straat,null
1179,Commandants brug,null
1180,Commelin straat,null
1181,Compagnie straat,male
1182,Computer weg,male
1183,Conakry weg,male
1184,Concertgebouw,null
1185,Daan Roodenburgh plein,male
1186,Contact weg,male
1187,Cor Hermus straat,male
1188,Cor Ruys hof,male
1189,Cor Van Weele hof,male
1190,Corantijn straat,null
1191,Corelli straat,null
1192,Corfu plantsoen,male
1193,Cornelis Aarnouts straat,male
1194,Cornelis De Groot pad,male
1195,Cornelis De Rooij pad,male
1196,Cornelis Dijksterhuis straat,male
1197,Cornelis Dirksz straat,male
1198,Cornelis Dopper kade,male
1199,Cornelis Douwes weg,male
1200,Daan Van Dijk pad,male
1201,Dachstein,null
1202,Dadelpalm straat,null
1203,Gerard Brandt straat,male
1204,Cornelis Kruseman straat,male
1205,Cornelis Lely laan,male
1206,Cornelis Lely plein,male
1207,Cornelis Outshoorn straat,male
1208,Cornelis Roobol straat,male
1209,Cornelis Roos straat,male
1210,Cornelis Schuyt straat,male
1211,Cornelis Sorgdrager straat,male
1212,Cornelis Springer straat,male
1213,Cornelis Troost plein,male
1214,Gerard Callenburg straat,male
1215,Cruquius weg,null
1216,Cruuskerk straat,null
1217,Crynssen straat,null
1218,CuraçAo straat,null
1219,Curie straat,female
1220,Cuwbland straat,null
1221,Cuyperspassage,null
1222,Cuyperstrap,null
1223,Cycladen laan,null
1224,Cyclamen straat,female
1225,Czaar Peter straat,male
1226,CéRamique laan,null
1227,D.L. Hudig straat,null
1228,Da Costa kade,null
1229,Da Costa plein,null
1230,Danzigerbocht,null
1231,Danziger kade,female
1232,Dapper plein,male
1233,Dapper straat,male
1234,Darling straat,female
1235,Darwin plantsoen,male
1236,Daveren,null
1237,David Bles straat,male
1238,David Hume hof,male
1239,David Kouwenaar straat,male
1240,David Ricardo straat,male
1241,De Alpen,null
1242,De Arend brug,null
1243,De Bazel hof,null
1244,De Bieten brug,null
1245,De Biezen hof,null
1246,De Bleeckster,null
1247,De Boele laan,null
1248,De Boele laan / Vu,null
1249,Gerard Dou plein,male
1250,Oude Meer hof,female
1251,De Clercq straat,null
1252,De Corridor,null
1253,De Cuser straat,null
1254,De Duiker straat,null
1255,De Egmonden straat,null
1256,De Entree,null
1257,De Genestet straat,null
1258,De Groene Zoom,null
1259,De Kamp,null
1260,De Kempenaer straat,null
1261,De Kluft straat,null
1262,De La Reij straat,null
1263,De La Salle straat,null
1264,Gerard Dou straat,male
1265,De Lairesse straat,null
1266,De Leeuw Van Vlaanderen straat,null
1267,De Leggende Os straat,null
1268,De Liefde,null
1269,De Loper,null
1270,De Miranda laan,null
1271,De Oase,null
1272,De Octopus,null
1273,De Passage,null
1274,De Peerel straat,null
1275,De Rijp gracht,null
1276,De Rijp straat,null
1277,De Roos Van Dekama weg,null
1278,Dintel straat,null
1279,Gerard Reve brug,male
1280,De Ruijter kade,null
1281,De Savornin Lohman straat,null
1282,De Schaapherder straat,null
1283,De Schorren straat,null
1284,De Sitter straat,null
1285,De Tourton Bruyns straat,null
1286,De Wieden,null
1287,Decca weg,female
1288,Dekschuit straat,null
1289,Del Court Van Krimpen straat,male
1290,Delfland laan,null
1291,Delfland plein,null
1292,Deli straat,male
1293,Delle Alpi hof,female
1294,Delta straat,male
1295,Demerara straat,null
1296,Demer hof,male
1297,Den Briel straat,male
1298,Den Burg straat,male
1299,Den Helder straat,male
1300,Den Tex straat,male
1301,Dender hof,male
1302,Dennen hof,null
1303,Dennen laan,null
1304,Dennenrode,null
1305,Dennenrode pad,null
1306,Derde Amstelvliet pad,male
1307,Derde Egelantiersdwars straat,male
1308,Derde Goudsbloemdwars straat,male
1309,Derde Helmers straat,male
1310,Derde Hugo De Groot straat,male
1311,Oude Nieuw straat,female
1312,Diemerbos pad,null
1313,Diemer hof,male
1314,Diemer kade,male
1315,Diemermere,null
1316,Diemerpark laan,null
1317,Diemerzee dijk,null
1318,Diopter,null
1319,Diepenbrock straat,null
1320,Dierenriem,null
1321,Dieze straat,female
1322,Dijkbraak,null
1323,Dijkdwars straat,null
1324,Dijkgraaf plein,null
1325,Dijkman pad,male
1326,Dijkmanshuizen straat,null
1327,Dijkmeer laan,null
1328,Dijks gracht,null
1329,Dijksgracht kade,null
1330,Tweede Coehoorn straat,male
1331,Distel weg,male
1332,Ditlaar,null
1333,Djakartaterras,null
1334,Djambi straat,null
1335,Doblijn,null
1336,Docklands weg,null
1337,Doctor H. Colijn straat,male
1338,Doddendaal,null
1339,Dokter Meurer laan,male
1340,Dolfijn hof,null
1341,Dolhaantje straat,null
1342,Gerard Rutten hof,male
1343,Gerard Schaep straat,male
1344,Dolinga dreef,null
1345,Dollard pad,null
1346,Dollard plein,null
1347,Dollebegijnen steeg,null
1348,Dom H. Van Der Laan straat,male
1349,Domela Nieuwenhuis straat,female
1350,Don Bosco straat,male
1351,Donar straat,male
1352,Donau weg,null
1353,Donge straat,null
1354,Donker Curtius straat,null
1355,Doorn burg,null
1356,Doppler straat,male
1357,Dorps plein,null
1358,Dorps straat Holysloot,null
1359,Gerard Terborg straat,male
1360,Dors,female
1361,Dortmuiden,null
1362,Dorus Rijkers hof,male
1363,Dostojevski singel,null
1364,Dotterbloem straat,null
1365,Douwes Dekker straat,male
1366,Dovenetel straat,null
1367,Dr. C.W. Ittmann pad,null
1368,Dr. D.M. Sluys pad,null
1369,Dr. E. Boekman straat,null
1370,Dr. J.A. Ringers straat,null
1371,Dr. Jan Van Breemen straat,null
1372,Draaier weg,null
1373,Drachme singel,null
1374,Drakenstein,null
1375,Drie Burg pad,male
1376,Drieban straat,null
1377,Driedistel straat,null
1378,Drieharingen brug,null
1379,Driehoek straat,null
1380,Driekoningen straat,null
1381,Driemond pad,null
1382,Driemond weg,null
1383,Drontermeer pad,null
1384,Droogbak,null
1385,Drosten burg,null
1386,Druiven brug,null
1387,Druiven straat,null
1388,Drusius hof,null
1389,Du Perron straat,null
1390,Dubbelegang,null
1391,Dubbeleworst steeg,null
1392,Dubbelink,null
1393,Dubbelink dreef,null
1394,Dubbelmonde hof,null
1395,Dudok De Wit hof,female
1396,Dufay straat,female
1397,Duffel hof,null
1398,Duifjes steeg,null
1399,Duinbeek,null
1400,Duindoorn plein,null
1401,Duinlust pad,null
1402,Duinlust straat,null
1403,Duiveland straat,null
1404,Gerardus Van Der Groep laan,male
1405,Griend straat,null
1406,Duivendrechtse kade,null
1407,Duiven steeg,null
1408,Duizendschoon straat,null
1409,Dukdalf weg,null
1410,Duke Ellington straat,male
1411,Dulcie September pad,female
1412,Dulong pad,null
1413,Dulong straat,null
1414,Durban weg,male
1415,Dynamo straat,male
1416,Easton straat,male
1417,Eclips hof,null
1418,Durgerdammer dijk,null
1419,Durgerdammer gouw,null
1420,Dusart straat,null
1421,Dwarswatering,null
1422,Dwaze Moeders Plein,null
1423,Dwergpalm straat,null
1424,Dwergplaneten baan,null
1425,Dwergvinvis straat,null
1426,Ecu plein,female
1427,Ed Pelster park,null
1428,Ed Van Der Elsken hof,null
1429,Edammer pad,null
1430,Edammer straat,null
1431,Eden burg,female
1432,Edenville,null
1433,Edison straat,male
1434,Edith Magnus straat,female
1435,Eduard Hellendoorn straat,male
1436,Eduard Jacobs hof,male
1437,Eduard Meijer straat,male
1438,Eduard Van Beinum straat,male
1439,Eduard Veterman straat,male
1440,Edumbe,null
1441,Eef Kamerbeek pad,female
1442,Eef Kamerbeek straat,female
1443,Eemland straat,null
1444,Eems straat,male
1445,Eenden straat,null
1446,Eendracht straat,null
1447,Eenhoorn hof,null
1448,Eenhoornsluis,null
1449,Eensgevonden,null
1450,Eerste Amstelvliet pad,male
1451,Eerste Anjeliersdwars straat,male
1452,Eerste Atjeh straat,male
1453,Eerste Bloemdwars straat,male
1454,Eerste Constantijn Huygens straat,male
1455,Eerste Disteldwars straat,male
1456,Eerste Egelantiersdwars straat,male
1457,Eerste Goudsbloemdwars straat,male
1458,Eerste Helmers straat,male
1459,Eerste Hugo De Groot straat,male
1460,Eerste Jacob Van Campen straat,male
1461,Eerste Jan Steen straat,male
1462,Eerste Jan Van Der Heijden straat,male
1463,Eerste Keuchenius straat,male
1464,Eerste Kostverloren kade,male
1465,Eerste Laurierdwars straat,male
1466,Eerste Leeghwater straat,male
1467,Eerste Leliedwars straat,male
1468,Eerste Lindendwars straat,male
1469,Eerste Looiersdwars straat,male
1470,Eerste Marnixdwars straat,male
1471,Eerste Marnix plantsoen,male
1472,Eerste Nassau straat,male
1473,Eerste Oosterpark straat,male
1474,Eerste Passeerdersdwars straat,male
1475,Eerste Van Swinden straat,male
1476,Eerste Vogel straat,male
1477,Eerste Weteringdwars straat,male
1478,Eerste Wetering plantsoen,male
1479,Eeuwige Jeugd laan,null
1480,Efua Sutherland straat,female
1481,Egelantiers gracht,null
1482,Egelantiers straat,null
1483,Egelen burg,null
1484,Egelskop straat,null
1485,Eggert straat,male
1486,Egidius straat,male
1487,Egoli,null
1488,Egoli plein,null
1489,Eg straat,null
1490,Ehrlich straat,male
1491,Eierland straat,null
1492,Eiger,male
1493,Eiken weg,female
1494,Einthoven straat,null
1495,Eisden straat,null
1496,Eisinga straat,null
1497,Ekangala,null
1498,Ekapa,null
1499,Elands gracht,null
1500,Elands straat,null
1501,Elba weg,female
1502,Elber veld,male
1503,Elckerlijc straat,null
1504,Eldorado,male
1505,Elegast straat,male
1506,Elektron straat,male
1507,Elementen straat,null
1508,Elfendans straat,null
1509,Elgar Vos brug,male
1510,Elim,female
1511,Elisabeth Boddaert straat,female
1512,Elisabeth Samson straat,female
1513,Elisabeth Wolff straat,female
1514,Eliza Van Calcar straat,female
1515,Elizabeth Cady Stanton plein,female
1516,Ella Fitzgerald straat,female
1517,Elleboog steeg,null
1518,Ellert Vlierop straat,male
1519,Elpermeer,null
1520,Elpermeer pad,null
1521,Elsen singel,female
1522,Emma straat,female
1523,Elsrijk dreef,null
1524,Elstar straat,null
1525,Elysium,male
1526,Elzenhagen pad,null
1527,Emmeline Pankhurst straat,female
1528,Emmikhoven straat,null
1529,Emmy Andriesse straat,female
1530,Empangeni,null
1531,Employee Access,male
1532,Endumeni,null
1533,Engcobo,null
1534,Enge Kapel steeg,female
1535,Enge Kerk steeg,female
1536,Enge Lombard steeg,female
1537,Engelse steeg,null
1538,Enkeldoorn,null
1539,Enkhuizer plein,null
1540,Enkhuizer straat,null
1541,Ennemaborg,null
1542,Enny Vrede straat,female
1543,Entabeni,null
1544,Entrepot brug,null
1545,Entrepotdok,null
1546,Elzenhagen singel,null
1547,Elzen laan,male
1548,Elzenlaantje,null
1549,Emanuel Van Meteren straat,male
1550,Emanzana,null
1551,Emergency Access,male
1552,Emfuleni,null
1553,Emilie Knappert straat,female
1554,Emma laan,female
1555,Entrepotdoksluis,null
1556,Entrepot kade,null
1557,Enzerinck,null
1558,Eos straat,male
1559,Epicurus straat,male
1560,Erasmus gracht,male
1561,Erasmus park,male
1562,Ereprijs,null
1563,Ereprijs straat,null
1564,Erich Salomon straat,male
1565,Erik De Roode straat,male
1566,Ernest Staes plein,male
1567,Ernest Staes straat,male
1568,Ernst Cahn En Alfred Kohn brug,male
1569,Ernst Cahn singel,male
1570,Erts kade,male
1571,Escudo laan,male
1572,Esdoorn laan,null
1573,Esmoreit straat,male
1574,Etna straat,male
1575,Eudorina straat,null
1576,Euro kade,male
1577,Europa boulevard,female
1578,Fluwelen Hoofd laan,null
1579,Foekje Dillema straat,female
1580,Foeliedwars straat,null
1581,Grift straat,male
1582,Europa plein,female
1583,Eva Besnyö Straat,female
1584,Everard Van Reijd hof,male
1585,Eversdal,null
1586,Evert Cornelis straat,male
1587,Evert Van Der Wall brug,male
1588,Evertsweert plantsoen,null
1589,Evertsweert straat,null
1590,Ewoud Worst straat,male
1591,Ezels brug,null
1592,Faas Wilkes straat,male
1593,Fagel straat,male
1594,Fahrenheit singel,female
1595,Fahrenheit straat,female
1596,Ferdinand Bol straat,male
1597,Ferdinand Huyck straat,male
1598,Ferdinand Spit straat,male
1599,Ferguut straat,null
1600,Ferraris straat,male
1601,Ferry Ploeger straat,male
1602,Fibiger straat,null
1603,Fien De La Mar Straat,female
1604,Fijnje Van Salverda straat,null
1605,Filips Van Almonde straat,male
1606,Finsen straat,male
1607,Fizeau straat,male
1608,Flamingo straat,male
1609,Flammarion straat,male
1610,Fleerde,null
1611,Flevo laan,female
1612,Foelie straat,null
1613,Foerster hof,null
1614,Fogo straat,male
1615,Fokke Simonsz straat,male
1616,Fokkemast,null
1617,Flevo park,female
1618,Flevopark weg,null
1619,Flierbos dreef,null
1620,Flierbos pad,null
1621,Flora pad,female
1622,Florapark weg,null
1623,Flora weg,female
1624,Florence Nightingale straat,female
1625,Florence Price hof,female
1626,Florijn,male
1627,Floris Van Der Laaken straat,male
1628,Floris Verster straat,male
1629,Fluessen laan,null
1630,Fluitschip straat,null
1631,Foppinga dreef,null
1632,Forint plantsoen,null
1633,Formentera pad,male
1634,Fortuin straat,null
1635,Fosfaat kade,null
1636,Fosfaat weg,null
1637,Fossema,null
1638,Foucault straat,male
1639,Fraijlemaborg,null
1640,Frambozen straat,null
1641,Francesca Caccini pad,female
1642,Franciscus Claessen straat,male
1643,Frank Van Der Goes straat,male
1644,Frankemaheerd,null
1645,Frankemaheerd pad,null
1646,Franken straat,male
1647,Frans Bastiaanse straat,male
1648,Frans De Wollant straat,male
1649,Frans Duwaer straat,male
1650,Frans Hals straat,male
1651,Frans Naerebout hof,male
1652,Frans Van Mieris straat,male
1653,Franz Ziegler straat,male
1654,Fraunhofer straat,null
1655,Fred Petter baan,male
1656,Fred. Roeske straat,male
1657,Fred. Thomas straat,male
1658,Frederik Hendrik plantsoen,male
1659,Gerda Brautigam straat,female
1660,Grill'S Hofje,null
1661,Frederik Hendrik straat,male
1662,Frederik Van Dorp straat,male
1663,Frederik Van Eeden straat,male
1664,Frederiks plein,male
1665,Frederiks straat,male
1666,Freek Ox straat,male
1667,Fregat straat,male
1668,Frege laan,null
1669,Freule Wttewaal pad,null
1670,Fridtjof Nansen hof,male
1671,Friesland straat,male
1672,Frissenstein pad,null
1673,Funen park,null
1674,Funke KüPper straat,female
1675,G.J. Scheurleer pad,null
1676,G.J. Scheurleer weg,null
1677,G.J.M. Sarlemijn straat,null
1678,G.T. Ketjen weg,null
1679,Gaande weg,null
1680,Gaasp,null
1681,Gaasperzoom pad,null
1682,Gaasp straat,null
1683,Gaasperdammer pad,null
1684,Gaasterland pad,null
1685,Gaasterland straat,null
1686,GabriëL Metsu straat,male
1687,Gaffelaars pad,null
1688,Gaffel straat,null
1689,Galant straat,male
1690,Gala straat,female
1691,Gaasperdammer weg,null
1692,Gaaspermolen pad,null
1693,Galgen brug,null
1694,Galgen straat,null
1695,Grimbergen straat,null
1696,Oude Spiegel straat,female
1697,Gaasperpark pad,null
1698,Gaasperplas pad,null
1699,Galileï Plantsoen,null
1700,Galjoen straat,null
1701,Galvani straat,male
1702,Galwin,male
1703,Ganzebloem straat,null
1704,Ganzenhoef pad,null
1705,Ganzenveld straat,null
1706,Ganzen weg,null
1707,Gaper steeg,male
1708,Gare Du Nord,male
1709,Garstkamp,null
1710,Gasthuismolen steeg,null
1711,Gebed Zonder End,null
1712,Gebroeders A. En B. Wolfswinkel weg,null
1713,Gedempt Hamerkanaal,null
1714,Gedempte Begijnensloot,null
1715,Gedempte Insteekhaven,null
1716,Geduld,null
1717,Geelbek straat,null
1718,Geelvincks steeg,null
1719,Geer Ban,male
1720,Geleyn Bouwensz straat,null
1721,Gerrie Knetemann laan,male
1722,Hegel hof,male
1723,Geerdink hof,null
1724,Gelre straat,null
1725,Gemeenschapspolder weg,null
1726,Goldberger steeg,null
1727,Grimburgwal,null
1728,Geerdinkhof pad,null
1729,Geerdinkhof weg,null
1730,Geert Groote straat,male
1731,Geertje Wielema pad,female
1732,Geertje Wielema plein,female
1733,Geertruida Van Lier straat,female
1734,Geervliet,null
1735,Gein-Noord,female
1736,Gein-Zuid,male
1737,Gelderse kade,null
1738,Geldershoofd,null
1739,Geleen straat,female
1740,Gerrit Bronke pad,male
1741,Gerrit Mol brug,male
1742,Gerrit Stuyver straat,male
1743,Gerrit Van Den Bosch pad,male
1744,Gerrit Van Der Veen straat,male
1745,Gerrit Van Erkel straat,male
1746,Gerrit Versteeg straat,male
1747,Geschutswerf,null
1748,Geul straat,male
1749,Geuzen kade,null
1750,Geuzen straat,null
1751,Gevle brug,null
1752,Gibraltar straat,male
1753,Giessen burg,null
1754,Gieterij,null
1755,Gieters straat,null
1756,Gijsbrecht Van Aemstel straat,male
1757,Gijsbrecht Van Ijselstein straat,male
1758,Gileppe hof,null
1759,Gillis Steltman straat,male
1760,Gillis Van Ledenberch straat,male
1761,Gladiolen laan,null
1762,Glauber weg,male
1763,Glitter straat,female
1764,Goden brug,male
1765,Goed Geluimd Hof,female
1766,Goed Genoeg,female
1767,Goeman Borgesius straat,male
1768,Goeree straat,null
1769,Gooioord,null
1770,Gooise Kant,null
1771,Graan straat,null
1772,Grachtenvlinder,null
1773,Graftdijker straat,null
1774,Gran Paradiso,male
1775,Granaat straat,null
1776,Granida straat,female
1777,Granulaat plein,null
1778,Grasrijk,null
1779,Graswal,null
1780,Gras weg,female
1781,Graven straat,male
1782,Gravestein,null
1783,Grens straat,female
1784,Greta laan,female
1785,Gretha laan,female
1786,Gooise weg,null
1787,Gordijnen steeg,male
1788,Gorontalo straat,male
1789,Gors straat,null
1790,Gosschalk laan,null
1791,Goudbal pad,null
1792,Gouden Leeuw,male
1793,Gouden Regen laan,male
1794,Goudestein,null
1795,Goudreinet straat,null
1796,Goudriaan straat,male
1797,Goudsbloem laan,null
1798,Goudslagersgang,null
1799,Griane straat,null
1800,Groeneveen,null
1801,Groenhoedenveem,null
1802,Groen hof,female
1803,Groenhoven,null
1804,Groenland straat,null
1805,Groenlust,null
1806,Groenmarkt kade,null
1807,Groen pad,female
1808,Groentepraam brug,null
1809,Groesbeek dreef,null
1810,Groet straat,null
1811,Groeze straat,null
1812,Grondzeiler,null
1813,Groningen straat,null
1814,Groot Blanken berg,male
1815,Groot-Essen burg,female
1816,Grootslag straat,null
1817,Grootzeil,null
1818,Grootzeil hof,null
1819,Grossglockner,null
1820,Grote Beer straat,male
1821,Grote Bickers straat,male
1822,Grote Brouwerssluis,male
1823,Grote Die straat,male
1824,Grote Ruwen berg,male
1825,Grote Wittenburger straat,male
1826,Grubbehoeve,null
1827,Grutto laan,null
1828,Guggenheim laan,null
1829,Guido Gezelle straat,male
1830,Guldehand steeg,null
1831,Gulden Kruis,male
1832,Gulden Kruis pad,male
1833,Gulden Winckel plantsoen,male
1834,Gulden Winckel straat,male
1835,Guldenpromenade,null
1836,Gunterstein,null
1837,Gustav Mahler laan,male
1838,Gustav Mahler plein,male
1839,Gutser straat,null
1840,Gyroscoop weg,null
1841,H. Cleyndert weg,null
1842,H. Diesveld singel,null
1843,H. Gerhard straat,null
1844,Hegeraat straat,null
1845,H. Stolle plantsoen,null
1846,H.A.J. Baanders kade,null
1847,H.J. Algra straat,null
1848,H.J.E. Wenckebach weg,null
1849,H.J.M. Walenkamp straat,null
1850,H.M. Kraaijvanger straat,null
1851,H.M. Van Randwijk plantsoen,null
1852,H.T. Zwiers plantsoen,null
1853,Haag En Veld,male
1854,Haagwinde weg,null
1855,Haaksberg weg,null
1856,Haardstee,null
1857,Haarlemmer Houttuinen,null
1858,Haarlemmer dijk,null
1859,Haarlemmermeer straat,null
1860,Haarlemmer plein,null
1861,Haarlemmersluis,null
1862,Haarlemmer straat,null
1863,Haarlemmer weg,null
1864,Haarlerberg pad,null
1865,Haarlerberg weg,null
1866,Habaai pad,null
1867,Hacquart straat,null
1868,Hadramout,null
1869,Hagedoorn plein,null
1870,Hagedoorn weg,null
1871,Hageland,null
1872,Hajo Brugmans hof,male
1873,Hakfort,null
1874,Halmaheira straat,null
1875,Halvemaans brug,null
1876,Halvemaan steeg,null
1877,Hamer straat,male
1878,Hammarby straat,null
1879,Heggerank weg,null
1880,Hamont straat,null
1881,Han Hollander laan,male
1882,Han Lammers brug,male
1883,Han Rensenbrink pad,male
1884,Han Van Zomeren brug,male
1885,Handbal straat,male
1886,Handboog straat,null
1887,Handmolen,null
1888,Haneda straat,female
1889,Hannie Dankbaarpassage,female
1890,Hannie Termeulen pad,female
1891,Hans Katan hof,male
1892,Hans Meerum Terwogt weg,male
1893,Hans Onversaagd straat,male
1894,Haparandadam,null
1895,Haparandasteiger,null
1896,Haparanda weg,null
1897,Hardeveld straat,null
1898,Haringbuis dijk,null
1899,Haringpakkers steeg,null
1900,Haringvliet straat,null
1901,Hark straat,male
1902,Harmonie hof,female
1903,Haroekoe straat,null
1904,Harriet Freezer straat,female
1905,Harry Bannink brug,male
1906,Harry Bannink straat,male
1907,Harry Koningsberger straat,male
1908,Hart Nibbrig straat,male
1909,Hartelstein,null
1910,Harten straat,male
1911,Hartshoorngang,null
1912,Hartveldse weg,null
1913,Hasebroek straat,null
1914,Haspels straat,null
1915,Hasselaers steeg,null
1916,Haven pad,female
1917,Hei brug,male
1918,Heidoti straat,null
1919,Heilige weg,male
1920,Heiligewegssluis,null
1921,Heimans pad,null
1922,Haven straat,female
1923,Havikshorst,null
1924,Haviks laan,null
1925,Haya Van Someren-Downer straat,male
1926,Hazelaar laan,null
1927,Hazelaar straat,null
1928,Hazen straat,male
1929,Heathrow straat,male
1930,Hebriden laan,null
1931,Hecht En Sterk hof,male
1932,Hechtel straat,null
1933,Hector straat,male
1934,Hedera brug,male
1935,Heemstede straat,null
1936,Heenweg pad,null
1937,Heer Halewijn straat,female
1938,Heermoes straat,null
1939,Heester veld,null
1940,Hempont plein,null
1941,Heimans weg,null
1942,Hein Donner brug,male
1943,Heining,null
1944,Heinze straat,male
1945,Hei steeg,male
1946,Hekel veld,male
1947,Hekla,female
1948,Heksen pad,null
1949,Helena Kuipers-Rietberg hof,female
1950,Helena Mercier straat,female
1951,Helene Madison straat,female
1952,Helicopter straat,male
1953,Heliotroop straat,null
1954,Heli pad,female
1955,Helling baan,null
1956,Helling straat,null
1957,Helmers plantsoen,null
1958,Helmgras straat,null
1959,Helmholtz straat,female
1960,Helsingfors brug,null
1961,Hembrug straat,null
1962,Hemelsleutel,null
1963,Hem kade,male
1964,Hemony laan,female
1965,Hemony straat,female
1966,Hemsterhuis straat,null
1967,Hemtunnel,null
1968,Hem weg,male
1969,Hendricus Antonius HenriëT straat,male
1970,Hendrik Bulthuis straat,male
1971,Hendrik De Bruyn straat,male
1972,Hendrik Dienske straat,male
1973,Hendrik Godfroid hof,male
1974,Hendrik Hos straat,male
1975,Hendrik Jacobsz straat,male
1976,Hendrik Jonker plein,male
1977,Hendrik Soeteboom straat,male
1978,Hendrik Van Wijn straat,male
1979,Hendrik Veldhuis hof,male
1980,Hendrik Werkman straat,male
1981,Hendrikje Stoffels straat,female
1982,Hendrikus Rempe straat,male
1983,Henegouwen straat,null
1984,Henk CurièRe kade,male
1985,Henk Sneevliet pad,male
1986,Henk Sneevliet weg,male
1987,Henri Bergson straat,male
1988,Henri Berssenbrugge hof,male
1989,Henri Borel straat,male
1990,Henri Dunant straat,male
1991,Henri Polak laan,male
1992,Henri Viotta kade,male
1993,Henri Zagwijn straat,male
1994,Henric Van Veldeke hof,male
1995,Henrick De Keijser plein,male
1996,Henrick De Keijser straat,male
1997,HenriëTte Bosmans straat,female
1998,HenriëTte Roland Holst straat,female
1999,HenriëTte Ronner plein,female
2000,HenriëTte Ronner straat,female
2001,HenriëTte Van Heukelom-Van Den Brandeler brug,female
2002,Hensbroeker straat,null
2003,Herbert Spencer hof,male
2004,Hercules Seghers straat,male
2005,Hercules straat,male
2006,Herder hof,male
2007,Hoekenrode pad,null
2008,Heren gracht,male
2009,Herenmarkt,null
2010,Heren straat,male
2011,Herentals straat,male
2012,Herfst straat,null
2013,Herikerberg weg,null
2014,Heringa-State,female
2015,Herman Akkerman pad,male
2016,Herman Bon pad,male
2017,Herman De Man straat,male
2018,Herman Helling plantsoen,male
2019,Herman Poort straat,male
2020,Herman Robbers straat,male
2021,Hermanus Coenradi straat,male
2022,Hermanus Van Der Tuuk hof,male
2023,Hermieten straat,null
2024,Hermitage laan,female
2025,Hertingen straat,null
